"path","origin","sha256"
"rtl/accelerator/mlkem_poly_mul256_v39e_true_one_dsp_pe39c.v","main-project","91CB9A05B1806B653C4C8426E17DAA8DD83356C838C69AE4C1155E7B1342CFEC"
"rtl/accelerator/mlkem_poly_mul256_v39e_true_one_dsp_ping_RAM_T2P_BRAM_1R1W.v","main-project","79D045E2C7AAD28C97A7F14AAF86B99EBF41D4BF18180612CB643764D89E8FF8"
"rtl/accelerator/mlkem_poly_mul256_v39e_true_one_dsp_sparsemux_7_2_12_1_1.v","main-project","1D57FC4607EEBE5EA9C52EF715FBACCBCCED188871DDB8F85A2B0EAEFDBE0404"
"rtl/accelerator/mlkem_poly_mul256_v39e_true_one_dsp_start_for_pe39c_U0.v","main-project","8972F15DB4A0440650A7B589C030DBFFB8870932E55ED3E498D7B340D9612FD9"
"rtl/accelerator/mlkem_poly_mul256_v39e_true_one_dsp_start_for_write39d_U0.v","main-project","4148E888140AF4DEE7B78A50657FBE7AEB075A880DF2200C06F28CAFAC810623"
"rtl/accelerator/mlkem_poly_mul256_v39e_true_one_dsp_sub_13ns_13ns_13_2_1.v","main-project","AB113CD426B962776A85887C4A9EFA88AD9CA307521A477160B6AE65BDD55E28"
"rtl/accelerator/mlkem_poly_mul256_v39e_true_one_dsp_sub_17ns_17ns_17_2_1.v","main-project","D23CA7280E18948F7E941AACEEB28E4C88AD3A94539527ED75E78B088282ACBA"
"rtl/accelerator/mlkem_poly_mul256_v39e_true_one_dsp_write39d.v","main-project","C94425F78953555A7181F6075C33A5F81510896E79917B5AA52B01AEE2043007"
"rtl/accelerator/mlkem_poly_mul256_v39e_true_one_dsp.v","main-project","BA9D1917D54CAD5B69E3698A265D479BA29C0F9ADD0EA620518B155369A9E646"
"rtl/cpu/picorv32.v","main-project","FD142889E8178EF67F1CFF17CB2D18B3ADAE56FCAE2BADF7CBCC4C4F5AC7960E"
"rtl/system/mlkem_polymul_rv32i_profile_top.v","main-project","30FBA9374FFE8F1020D209E88FD30557608BF03C89ADE01DD592AF34F9D13E80"
"constraints/pynq_z2_board.xdc","main-project","385EC0A45A43F2197705CAFB91A352D611197B6A2AA480925A132B79DCBFA423"
"constraints/pynqz2_bram_reset.xdc","main-project","F54F842F83D29F38EA13DB7FBBB02C20362B79D4651414CC55C28ECF010D95B1"
"constraints/system_ooc_10ns.xdc","main-project","54824477D09A7265F93121CDB8184FEC730C056B53BACE9B4C8A74635BCD9FF1"
"constraints/v39e_ooc_10ns.xdc","main-project","B311ED1381BC8A115543AA686405E541C8CE59335987FB713EE60E8B85EBB282"
"hls/src/mlkem_poly_mul256_v39e_true_one_dsp.cpp","main-project","8AC558FC50BDA154DC621292A3A75CD1C9FBF82818A54CA80B1CF86F99E11FB9"
"hls/tb/tb_mlkem_poly_mul256_v39e.cpp","main-project","EB30C55F48EEF52FD1C94331AA1829A0A9EA1E3F955D4202A572954ADDD569A6"
"rtl/axi/mlkem_coeff_tdp_ram.v","main-project","9B0DB5FC0997E49E51191FD9B8257B0D7722F3B1347652269422974FC74234D8"
"rtl/axi/mlkem_polymul_axi_wrapper.v","main-project","3DDA0DB7A5A3E96793ABE042B253CA3AAE242A106238C91EF13FDBBAA60B6F77"
"experiments/register_wrapper/mlkem_polymul_axi_wrapper.v","main-project","E336B18E490B6DD9357E280A70F92D7389C4BF590E46DAA92B7EF54E69A1BEFF"
"rtl/board/mlkem_polymul_pynqz2_top.v","main-project","45F1BD1C0795DAFE5FE1B0F2063EDBCAB9812AD5A21AEBB10B40AEA7F0D26AAA"
"hls/src/mlkem_poly_mul256_v39e_unified_stream_support.cpp","historical-hls-support","A8B8ABFAB2E11DE7A4AD04D41FB5AA07270A56E4997A65145CD86A1B5A7893AD"
"firmware/expected_words.h","main-project","7766637D48D071D637AB4FE9B5686B97338C6A32B84483D7A65ABC4217D9463C"
"firmware/link.ld","main-project","5655C8968238052FFEA79B09A665075C95C61F5CDE67567E092856F0B48797CF"
"firmware/memory_transfer_compare_firmware.c","main-project","47710D6892E339866D4DB47B484B78F852413DA47E276C5FD46EB5E8C0F6893D"
"firmware/prepare_compare_firmware.c","main-project","6E01C905E205CE26ECEE3552A75A1C35F7EA58FBB354976158B60843D3D99AE8"
"firmware/profile_firmware.c","main-project","46D21ED0CF080C8251D1FC44D8F1FB66BB0DC90C43AA2BBD6A50E97AFF9F4363"
"firmware/software_polymul.c","main-project","B1E86343F75E2D76F72D65A4938F19460096AAEE1DAE7D67F1EDFB69A6309E5E"
"firmware/software_profile.c","main-project","F357785CA6CEA4B3AB1CB57A3FC376AAA6F32249C5AA420F639709D612F93E1F"
"firmware/software_start.S","main-project","D23DF706176040E4A45518751B9A56CA3763DE010E514D4366B3480C2A5DF33C"
"firmware/prebuilt/prepare_buffered.mem","main-project","0A027E2C3CA9349EEC2D2F50FEFBFCA731241DC8C5D5F6F48A5492DFDA9F5252"
"firmware/prebuilt/prepare_direct.mem","main-project","ED7F63FEA3ABC912D72106C3BCAEA7F1C060ACD8E02E4400D042D55B8FC6D06B"
"firmware/prebuilt/profile_firmware.mem","main-project","C02ED6318E27ED6B7DC698501170DFD76164AA3C28903440E9C2288DA3FFF607"
"firmware/prebuilt/software_o2.mem","main-project","ABFE40AA228FD8B19AEA0AB127BF1314442E55CEE6CAC7B38856760E2A937B14"
"firmware/prebuilt/transfer_baseline.mem","main-project","4FD33D2A3DADE381A63F5850F7AFEBA708B51BAAC0DF08B618A59F6B6EB95DE0"
"firmware/prebuilt/transfer_both_unroll4.mem","main-project","F813ECDE8CD06C9D3644AAFAF7B34E0F4ACDBE9D37DC5E7AEC9A5720FCFBBB0E"
"firmware/prebuilt/transfer_read_unroll4.mem","main-project","94B7DFBC5D1E9514EB70E6C9025D3320D3D8776AE43FED8FA8F5F0D6A1B09F41"
"firmware/prebuilt/transfer_write_unroll4.mem","main-project","32B157B4FF5AD11CA2D3A8C28ECF4136A2EC00F7D5EEBBEA72B0DCA17733A9A7"
"sim/profile/tb_pynqz2_bram_board.sv","main-project","7D2454BB0E8CB03879228B60F3B0DE0A31DB293EC1BFECE3B3D78097E4A25D76"
"sim/profile/tb_pynqz2_profile_vio.sv","main-project","D227EA2077DEB3B6E4A90BF6B978798117DA131113FC4A650CA2C0C3865EF94A"
"sim/profile/tb_bram_wrapper_protocol.sv","main-project","B4C849DF037C343DF938FB85F8FA02F4C8E4E1A0562D86A6C4AD330C40AE02D0"
"sim/profile/tb_mlkem_bram_transfer.sv","main-project","E3FE7DA9F66C1C51947F7A74EB351B2FC04BAD3FE064C60D20600C3185F59AC5"
"sim/profile/tb_software_baseline.sv","main-project","BD3DEE124F02462977E5AEA7BB6D5EEFFA935F5D2E690A1F0809BF7649A2DFB9"
"sim/profile/test_software_polymul.c","main-project","56798304001D5402C3F050452C92EA38D2745DC128856100D17B56BE6E5E4FC8"
"sim/core/tb_v39e_true_one_dsp.sv","main-project","676E28F036DDF5A3DCD26F84C491B5846975DDB1F5348DB8CD1A9DCDCBADD9E3"
"sim/observer/mlkem_core_cycle_observer.sv","main-project","5DA7E6AF4335B5D6B8DE5E8C01D9EA709C7479A1A98ABF8D9967388E21A9C69A"
"sim/observer/mlkem_axi_profile_observer.sv","main-project","AC50B967A83509F2E20ADC75084C2752DB47DB6034386C7E5579EC935CAC9C27"
"scripts/read_board_vio.tcl","main-project","DAF5306CC8FF8A8C102251EDED905B87AAE9A5740E4828113D9AC8634B54D129"
"scripts/build_memory_transfer_compare.ps1","main-project","9147E047207A73EB539DBE1AE294D1D733DC683725EB5734B611EE347C8C0E26"
"experiments/register_wrapper/tb_mlkem_memory_transfer_compare.sv","main-project","11387B4DA9B89050A2BA23C697E5A6C07D0FA1576AB2621BF49D9D32A4D58E9B"
"experiments/register_wrapper/tb_mlkem_prepare_compare.sv","main-project","4D64332A21CC081EC56668EC80D2CF6D8D8EF14F913497DE2E82A67728528475"
"experiments/register_wrapper/tb_mlkem_polymul_rv32i_profile.sv","main-project","932D6B643C0094CE0176AD185EB3D56ACA5A91CF2B77E8F933E3F6993F2B0E35"
"evidence/historical/board_vio/simulate.log","main-project","B1FD75351B2A9AC94CF0EB461C55338BC2EF55CD6A9C4E4DA7A937426F8C8D52"
"evidence/historical/board_vio/utilization_routed.rpt","main-project","AC6022A35BE9FB49549393355FF65EB0C8B538A6A7A9B6A40BA49D315EF1C0FF"
"evidence/historical/board_vio/timing_routed.rpt","main-project","74C4A4819ABC2EBE6C76099DCCE5DFE708C762868A9FC51472C97910C5BD188B"
"evidence/historical/board_vio/drc_routed.rpt","main-project","DD225736E9EC077CD36331F6B2E1303B1AED4A3FDBA41A6A7C8FD59C4BF2C469"
"evidence/historical/board_vio/hardware/snapshot_20260912_203558_7590119437774.txt","main-project","22B7089C5CA31E3808456F5A7A4788557D2C85A8D46C35F029E521228650029C"
"evidence/historical/bram_wrapper/baseline/utilization_routed.rpt","main-project","9EF5A6A92A9F0992DB8C93CA3A4346A880CFE343CDD692D63EC9E850416BCC28"
"evidence/historical/bram_wrapper/bram/utilization_routed.rpt","main-project","505EA6A7676EF22925A19AB71E46C5D072E3FAC9E3EF93C29B23254DD4C5EC4F"
"evidence/historical/profile/software_compute_audit_1789549904/simulate.log","main-project","D9E6F62564D96702710D907E93712221C09FA6422CCD613E1CDE057BFADD7CE8"
"docs/architecture.svg","main-project","00B2BDC03A8686576515675D38B86B2FF96647244AE866E973A248219C54430C"
